hole_id,startpoint_x,startpoint_y,startpoint_z,endpoint_x,endpoint_y,endpoint_z,status
11,6694901.715,25494813.86,53.484,6694901.851,25494815.447,40.807,11
116,6694947.82,25494798.187,52.942,6694947.65,25494799.654,40.808,2
12,6694903.462,25494810.872,53.011,6694903.487,25494812.336,40.808,10
125,6694949.481,25494801.038,53.109,6694949.523,25494802.595,40.808,4
126,6694951.445,25494797.993,53.55,6694951.475,25494799.564,40.808,4
127,6694953.132,25494795.157,54.159,6694953.005,25494796.654,40.808,9
13,6694905.3,25494807.833,53.174,6694905.298,25494809.383,40.808,10
135,6694953.291,25494800.941,53.403,6694953.253,25494802.465,40.682,11
136,6694955.009,25494797.904,53.754,6694955.015,25494799.594,40.747,2
14,6694907.136,25494804.729,53.524,6694907.098,25494806.368,40.807,2
144,6694955.13,25494803.872,53.662,6694955.185,25494805.482,40.805,2
145,6694956.962,25494800.704,53.927,6694957.029,25494802.413,40.681,0
146,6694958.976,25494797.748,53.955,6694958.99,25494799.385,40.804,3
147,6694960.567,25494794.887,52.953,6694960.816,25494796.457,40.804,4
15,6694908.785,25494801.737,53.212,6694908.776,25494803.237,40.806,7
156,6694962.442,25494797.69,54.286,6694962.484,25494799.464,40.777,0
157,6694964.254,25494794.727,53.351,6694964.372,25494796.232,40.783,11
16,6694910.694,25494798.703,53.056,6694910.74,25494799.96,42.634,6
166,6694966.138,25494797.679,54.081,6694966.149,25494799.361,40.805,6
17,6694910.652,25494798.795,52.739,6694910.828,25494800.06,42.812,2
175,6694967.523,25494799.909,54.503,6694968.222,25494802.089,40.807,11
176,6694969.832,25494797.192,53.479,6694969.836,25494799.318,40.803,8
177,6694971.678,25494794.762,52.582,6694971.726,25494796.239,40.798,6
185,6694971.705,25494800.583,52.488,6694971.654,25494802.08,40.801,13
186,6694973.348,25494797.079,51.631,6694973.386,25494799.005,40.81,8
187,6694975.298,25494794.77,51.678,6694975.158,25494796.063,40.806,4
21,6694905.319,25494813.729,53.193,6694905.437,25494815.218,40.807,1
22,6694907.103,25494810.738,53.211,6694907.078,25494812.33,40.807,12
23,6694908.978,25494807.681,53.586,6694909.115,25494809.299,40.806,4
25,6694912.381,25494802.095,54.069,6694912.604,25494803.128,40.806,9
26,6694914.37,25494798.681,53.088,6694914.474,25494800.219,40.807,12
27,6694916.034,25494795.597,54.007,6694915.988,25494797.155,40.807,3
31,6694908.988,25494813.619,53.517,6694909.102,25494815.124,40.806,0
32,6694911.365,25494810.579,53.807,6694911.109,25494812.098,40.809,4
33,6694912.659,25494807.689,53.325,6694912.769,25494809.194,40.803,4
34,6694914.668,25494805.002,53.26,6694914.692,25494806.08,40.808,13
35,6694916.29,25494801.619,53.003,6694916.33,25494803.079,40.806,12
36,6694918.053,25494798.483,54.207,6694918.077,25494800.181,40.806,10
37,6694919.847,25494795.475,53.723,6694919.93,25494797.07,40.804,4
42,6694914.592,25494810.592,53.881,6694914.747,25494812.173,40.807,8
43,6694916.386,25494807.628,53.793,6694916.455,25494809.221,40.806,5
44,6694918.702,25494803.813,53.614,6694918.327,25494805.839,40.807,13
45,6694919.923,25494801.531,53.395,6694919.969,25494803.07,40.807,10
46,6694921.832,25494798.531,53.453,6694921.921,25494800.15,40.806,10
47,6694923.499,25494795.541,53.122,6694923.568,25494797.075,40.806,0
51,6694916.457,25494813.476,53.805,6694916.565,25494815.024,40.806,11
52,6694919.176,25494810.309,54.756,6694918.233,25494812.23,40.807,12
53,6694920.078,25494807.475,53.626,6694919.843,25494809.113,40.806,11
54,6694921.892,25494804.442,53.341,6694921.901,25494805.95,40.804,12
56,6694925.404,25494798.517,52.967,6694925.457,25494799.969,40.806,10
57,6694927.024,25494795.335,52.839,6694927.265,25494796.74,40.806,12
61,6694920.198,25494813.413,54.15,6694920.082,25494815.537,40.806,7
62,6694921.927,25494810.46,53.338,6694921.913,25494812.098,40.808,13
63,6694923.79,25494807.621,52.634,6694923.865,25494809.064,40.806,4
64,6694925.528,25494804.557,52.633,6694925.598,25494806.074,40.806,5
65,6694927.751,25494801.687,53.053,6694927.544,25494802.958,40.806,5
66,6694929.205,25494798.439,52.749,6694929.254,25494799.936,40.807,10
67,6694930.995,25494795.38,52.442,6694931.103,25494796.723,40.808,13
71,6694923.895,25494813.504,52.643,6694923.955,25494814.887,40.806,2
74,6694929.268,25494804.318,54.097,6694929.346,25494805.786,40.806,4
75,6694931.046,25494801.409,52.618,6694931.176,25494802.875,40.807,0
76,6694932.841,25494798.424,53.026,6694933.005,25494799.91,41.417,8
77,6694934.582,25494795.392,53.107,6694934.566,25494796.903,40.808,4
81,6694927.584,25494813.737,51.065,6694927.628,25494814.923,40.797,3
82,6694930.694,25494811.08,52.944,6694931.263,25494812.753,40.806,9
85,6694934.629,25494801.232,53.324,6694934.697,25494802.714,40.806,3
86,6694936.476,25494798.305,53.144,6694936.575,25494799.805,40.808,7
87,6694938.655,25494795.216,53.417,6694938.486,25494796.846,40.807,13
91,6694930.998,25494812.641,52.416,6694930.993,25494812.79,51.191,13
hole-0127,6694955.316,25494797.742,53.857,6694955.411,25494799.343,40.806,2
hole-0128,6694956.31,25494794.915,54.055,6694956.319,25494796.547,40.807,9
hole-0129,6694910.183,25494798.184,53.049,6694910.302,25494799.617,40.806,5
